Temp,Windspeed,Wind direction,Atmospheric,Insolation,Rain,SIS11A_12.5-X,SIS11A_13.0-X,SIS11A_13.5-X,SIS11A_14.0-X,SIS11A_14.5-X,SIS11A_15.0-X,SIS11A_15.5-X,SIS11A_16.0-X,SIS11A_16.5-X,SIS11A_17.0-X,SIS11A_17.5-X,SIS11A_18.0-X,SIS20_15.0-X,SIS20_15.5-X,SIS20_16.0-X,SIS20_16.5-X,SIS20_17.0-X,SIS20_17.5-X,SIS20_18.0-X,SIS20_18.5-X,SIS20_19.0-X,SIS20_19.5-X,SIS20_20.0-X,SIS20_20.5-X
25.1,1.2,287,848.8,0,0,171.1920013,171.026001,174.852005,175.7940063,175.5160065,146.3159943,-8.493000031,-25.21299934,-16.79100037,-17.25900078,-8.050000191,-1.588000059,182.5529938,178.6840057,177.2359924,161.6399994,127.3470001,50.31800079,19.93199921,8.286000252,6.521999836,1.047999978,4.414000034,-0.338999987
25.3,1,17,849.4,0,0,171.1940002,171.0679932,174.8849945,175.8159943,175.552002,146.4429932,-8.444000244,-25.1760006,-16.81500053,-17.34000015,-8.112999916,-1.582999945,182.3939972,178.6150055,177.2769928,161.673996,127.3720016,50.29600143,19.875,8.218000412,6.46999979,1.003999949,4.350999832,-0.368999988
25.9,1,255,850.4,0,0.5,171.279007,171.151001,174.9900055,175.9089966,175.6210022,146.4889984,-8.392999649,-25.2329998,-16.875,-17.36800003,-8.196000099,-1.626999974,182.397995,178.6210022,177.2180023,161.5549927,127.3030014,50.18999863,19.8220005,8.18999958,6.445000172,0.976999998,4.34800005,-0.400999993
25.8,1.3,87,852,0,0,171.3419952,171.2089996,175.0249939,175.9029999,175.6369934,146.477005,-8.348999977,-25.17099953,-16.81800079,-17.33099937,-8.081999779,-1.547000051,182.3990021,178.548996,177.1620026,161.552002,127.3590012,50.34700012,19.99600029,8.322999954,6.565999985,1.003999949,4.335000038,-0.409000009
25.7,1,52,848.4,0,0,170.9519958,170.8049927,174.5879974,175.5050049,175.2899933,146.1900024,-8.618000031,-25.34700012,-16.94400024,-17.47200012,-8.194999695,-1.636000037,182.2599945,178.4109955,177.0919952,161.4380035,127.1139984,50.10100174,19.72299957,8.133000374,6.413000107,0.958000004,4.322999954,-0.467999995
25.6,0.8,46,849.7,0,0,171.3079987,171.1950073,175.0379944,175.9920044,175.6790009,146.4830017,-8.23900032,-25.05200005,-16.8029995,-17.36899948,-8.159000397,-1.648000002,182.4429932,178.5780029,177.2220001,161.5809937,127.2590027,50.21900177,19.87599945,8.227999687,6.489999771,0.98299998,4.289999962,-0.5
24.8,0.5,58,851.8,0,0,170.9859924,170.8630066,174.7189941,175.6450043,175.423996,146.3130035,-8.442000389,-25.1989994,-16.90600014,-17.3390007,-8.074000359,-1.593000054,182.4199982,178.5980072,177.1620026,161.5500031,127.2409973,50.14799881,19.77099991,8.121999741,6.440999985,0.971000016,4.215000153,-0.446999997
24.8,0.7,141,852.8,0,0,171.0390015,170.8540039,174.6239929,175.5690002,175.3240051,146.1390076,-8.673999786,-25.44000053,-16.97299957,-17.50499916,-8.248999596,-1.661000013,182.5079956,178.6560059,177.2599945,161.6569977,127.3610001,50.29100037,19.85000038,8.201999664,6.453000069,1.024999976,4.25,-0.442999989
24.7,0.9,121,850.7,0,0,171.2169952,171.022995,174.8670044,175.7879944,175.470993,146.2870026,-8.539999962,-25.27599907,-16.95899963,-17.40999985,-8.138999939,-1.585999966,182.7079926,178.7940063,177.3439941,161.7519989,127.4570007,50.4090004,19.99500084,8.296999931,6.579999924,1.120000005,4.402999878,-0.370000005
24.2,0.4,208,848.9,0,0,171.0890045,170.9259949,174.7440033,175.6880035,175.473999,146.3059998,-8.475999832,-25.26600075,-16.87199974,-17.29700089,-8.06499958,-1.531000018,182.423996,178.5700073,177.1519928,161.5330048,127.2610016,50.16199875,19.78899956,8.130000114,6.462999821,1.014999986,4.342000008,-0.360000014
24.3,0.6,65,850.8,0,0,171.348999,171.1730042,174.9689941,175.923996,175.5500031,146.4519958,-8.418999672,-25.25399971,-16.83600044,-17.43000031,-8.201999664,-1.649000049,182.7559967,178.9199982,177.5240021,161.8589935,127.5279999,50.47000122,20.04700089,8.343000412,6.53399992,1.077000022,4.389999866,-0.379000008
24.5,0.7,123,849.5,0,0,171.2290039,171.003006,174.8580017,175.8000031,175.4759979,146.3659973,-8.43599987,-25.1970005,-17.00399971,-17.41399956,-8.152999878,-1.639000058,182.6089935,178.75,177.3609924,161.7649994,127.5390015,50.43500137,20.01099968,8.282999992,6.505000114,0.972000003,4.263999939,-0.467999995
24.3,0.6,90,848.8,0,0,171.3800049,171.1940002,174.9940033,175.9429932,175.6239929,146.5070038,-8.23900032,-24.96299934,-16.72400093,-17.24099922,-7.980999947,-1.613000035,182.6750031,178.7669983,177.3829956,161.7400055,127.4540024,50.38000107,19.93799973,8.23900032,6.502999783,1.003999949,4.315999985,-0.463999987
24.4,0.6,133,851.8,0,0,171.3450012,171.2050018,175.0599976,176.0200043,175.7250061,146.5839996,-8.303999901,-25.11899948,-16.73900032,-17.25699997,-8.081999779,-1.666000009,182.4539948,178.5549927,177.1360016,161.5420074,127.2570038,50.20999908,19.79299927,8.114999771,6.436999798,0.936999977,4.243000031,-0.441000015
24,0.5,102,851.2,0,0,171.2870026,171.1679993,175.0189972,175.9609985,175.647995,146.4869995,-8.390999794,-25.2329998,-16.92399979,-17.42200089,-8.149000168,-1.638000011,182.3450012,178.4720001,177.0749969,161.4429932,127.1969986,50.13199997,19.7840004,8.18500042,6.429999828,0.964999974,4.31400013,-0.444000006
24,0.5,59,851.2,0,0,171.2720032,171.0890045,174.904007,175.7799988,175.473999,146.3300018,-8.48900032,-25.29400063,-16.95199966,-17.40600014,-8.142999649,-1.639999986,182.4949951,178.6360016,177.2940063,161.7350006,127.4649963,50.42100143,19.87199974,8.289999962,6.599999905,1.088999987,4.389999866,-0.391000003
24.2,0.5,50,851.6,0,0,171.3999939,171.151001,174.9420013,175.8569946,175.5440063,146.3659973,-8.468999863,-25.17900085,-16.92200089,-17.43099976,-8.187999725,-1.603000045,182.5540009,178.7039948,177.3130035,161.6970062,127.4329987,50.34199905,19.97800064,8.380999565,6.677000046,1.131999969,4.434000015,-0.335000008
24.6,0.7,120,843.7,0,0,171.0850067,170.9429932,174.7570038,175.7120056,175.4570007,146.3739929,-8.48900032,-25.20000076,-16.80500031,-17.36400032,-8.081999779,-1.557000041,182.371994,178.4539948,177.1040039,161.5070038,127.276001,50.22499847,19.90699959,8.229999542,6.493000031,0.990999997,4.339000225,-0.414999992
26.4,0.7,119,851.9,37,0,171.3540039,171.1889954,175.0119934,175.9779968,175.6380005,146.4810028,-8.378000259,-25.12599945,-16.78899956,-17.33600044,-8.104999542,-1.572000027,182.720993,178.8890076,177.5140076,161.9060059,127.586998,50.51800156,20.04999924,8.406999588,6.622000217,1.080000043,4.385000229,-0.388999999
27.5,0.6,86,855.9,59,0,171.6309967,171.4429932,175.2079926,176.154007,175.8419952,146.6640015,-8.237999916,-25.02000046,-16.71500015,-17.22100067,-8.074000359,-1.554999948,182.8419952,178.9389954,177.5019989,161.8439941,127.5719986,50.54700089,20.12299919,8.395999908,6.650000095,1.090000033,4.361999989,-0.365999997
28,0.9,268,855.5,57,0,171.0829926,170.871994,174.7030029,175.6340027,175.3339996,146.1750031,-8.701999664,-25.44599915,-16.95599937,-17.48900032,-8.164999962,-1.585000038,182.5379944,178.6430054,177.2740021,161.5899963,127.3990021,50.3390007,19.94300079,8.220999718,6.46600008,0.898999989,4.193999767,-0.510999978
28.2,0.8,260,851.1,32,0,171.1730042,170.9980011,174.75,175.7449951,175.4629974,146.3079987,-8.449999809,-25.16600037,-16.80900002,-17.35199928,-8.100999832,-1.549000025,182.4349976,178.6210022,177.1829987,161.5619965,127.3470001,50.24599838,19.83399963,8.256999969,6.500999928,0.967000008,4.335000038,-0.458000004
28.8,1,270,847.9,43,0,171.2409973,171.0420074,174.8370056,175.7510071,175.4329987,146.2510071,-8.545000076,-25.31299973,-16.91900063,-17.48800087,-8.199999809,-1.639999986,182.8079987,178.9589996,177.4720001,161.8339996,127.5879974,50.52799988,20.12400055,8.486000061,6.662000179,1.126999974,4.433000088,-0.352999985
29.4,0.8,235,851.4,52,0,171.154007,170.9689941,174.8549957,175.8190002,175.4880066,146.3769989,-8.326999664,-25.0739994,-16.84600067,-17.38599968,-8.104000092,-1.549999952,182.5809937,178.7339935,177.2890015,161.7100067,127.4240036,50.4070015,19.93099976,8.307999611,6.501999855,0.985000014,4.340000153,-0.405999988
29.6,1,249,853.7,39,0,171.2149963,170.996994,174.7980042,175.7480011,175.4609985,146.2570038,-8.572999954,-25.2859993,-16.84700012,-17.35099983,-8.102000237,-1.588999987,182.6349945,178.8690033,177.4329987,161.7409973,127.4520035,50.43099976,19.97699928,8.347000122,6.566999912,1.082000017,4.386000156,-0.407999992
29.7,1.1,291,858.1,47,0,171.4609985,171.3130035,175.173996,176.0410004,175.6640015,146.4949951,-8.31099987,-25.0739994,-16.77099991,-17.29800034,-8.121999741,-1.633999944,182.427002,178.6179962,177.1620026,161.5700073,127.3030014,50.34199905,19.91500092,8.31499958,6.584000111,1.067000031,4.352000237,-0.460999995
29,0.7,359,860.8,47,0,171.2319946,171.076004,174.9049988,175.8309937,175.5420074,146.3639984,-8.468999863,-25.17700005,-16.72299957,-17.3029995,-8.083999634,-1.610999942,182.9349976,179.0650024,177.6150055,161.9440002,127.6100006,50.59600067,20.13699913,8.505000114,6.664000034,1.085000038,4.43200016,-0.351000011
27.7,0.5,332,853.7,20,0,171.1000061,170.9750061,174.8130035,175.7839966,175.4340057,146.2619934,-8.562999725,-25.31200027,-16.93700027,-17.41600037,-8.159000397,-1.633999944,182.7929993,178.897995,177.4160004,161.7910004,127.4690018,50.49599838,20.00499916,8.399999619,6.618000031,1.074000001,4.346000195,-0.416999996
26.3,0.6,308,849.7,0,0,171.2859955,171.1049957,174.9649963,175.8430023,175.5359955,146.4069977,-8.350000381,-25.09900093,-16.82900047,-17.28199959,-8.088999748,-1.606999993,182.8280029,178.9629974,177.5039978,161.8699951,127.572998,50.5719986,20.13999939,8.430999756,6.710000038,1.177999973,4.418000221,-0.372999996
25.7,0.7,41,846.6,0,0,171.3300018,171.1239929,174.8930054,175.8470001,175.526001,146.3860016,-8.449000359,-25.19000053,-16.77300072,-17.22900009,-8.038999557,-1.54400003,182.5780029,178.6809998,177.0679932,161.4340057,127.1470032,50.18600082,19.79400063,8.211999893,6.479000092,1.039999962,4.414000034,-0.330000013
24.8,1.1,57,848.9,0,5.5,171.4109955,171.2169952,174.996994,175.8809967,175.5469971,146.3730011,-8.444999695,-25.14900017,-16.85199928,-17.32900047,-8.128000259,-1.580000043,182.5330048,178.7089996,177.25,161.6529999,127.4150009,50.4070015,19.93600082,8.328000069,6.545000076,1.032999992,4.386000156,-0.342000008
24.9,1.1,27,849.1,0,0,171.0899963,170.9349976,174.7810059,175.7550049,175.4100037,146.2669983,-8.484000206,-25.23699951,-16.8239994,-17.28800011,-8.130999565,-1.592000008,182.7400055,178.9160004,177.4819946,161.8999939,127.6709976,50.625,20.19799995,8.494000435,6.671999931,1.106999993,4.379000187,-0.393000007
25,0.9,56,848.8,0,0,171.2610016,171.1369934,174.9859924,175.9120026,175.621994,146.4080048,-8.387000084,-25.13999939,-16.75600052,-17.26600075,-7.992000103,-1.532999992,182.4810028,178.7169952,177.272995,161.7030029,127.4459991,50.38000107,20.00799942,8.397999763,6.604000092,1.046000004,4.369999886,-0.382999986
24.8,0.5,118,849,0,0.5,171.2940063,171.0870056,174.973999,175.927002,175.5440063,146.3829956,-8.43500042,-25.1609993,-16.84799957,-17.30800056,-8.116999626,-1.646999955,182.6289978,178.8209991,177.371994,161.7579956,127.4889984,50.4109993,20.01499939,8.357999802,6.547999859,0.995999992,4.368999958,-0.42899999
25,1.2,95,848.8,0,0.5,170.9160004,170.7649994,174.7220001,175.6620026,175.3569946,146.1589966,-8.69699955,-25.40699959,-16.97699928,-17.48699951,-8.220999718,-1.644999981,182.5839996,178.6089935,177.1549988,161.5410004,127.2959976,50.17699814,19.75499916,8.194000244,6.433000088,0.901000023,4.243000031,-0.508000016
24.8,1.1,117,851.9,0,0.5,171.1529999,171.0350037,174.9329987,175.9450073,175.6300049,146.5050049,-8.312999725,-25.04400063,-16.74500084,-17.22999954,-8.036999702,-1.574000001,182.5610046,178.7810059,177.220993,161.5440063,127.3170013,50.22999954,19.82900047,8.272999763,6.497000217,0.981000006,4.342000008,-0.458000004
24.2,1,99,853.2,0,2,171.0839996,171.0180054,174.8820038,175.8589935,175.5619965,146.3959961,-8.468999863,-25.18199921,-16.81299973,-17.32699966,-8.065999985,-1.57099998,182.6849976,178.8000031,177.2960052,161.654007,127.3949966,50.38399887,19.95700073,8.355999947,6.507999897,0.973999977,4.414999962,-0.344999999
24.4,1.1,125,848.2,0,1,171.0980072,170.9929962,174.8139954,175.7599945,175.4640045,146.2559967,-8.538000107,-25.34300041,-16.875,-17.34799957,-8.123999596,-1.625,182.7489929,178.9100037,177.4210052,161.8370056,127.5790024,50.5890007,20.06999969,8.413000107,6.626999855,1.093999982,4.485000134,-0.317000002
24.5,1.2,128,853.3,0,0.5,171.2449951,171.0850067,174.9179993,175.8650055,175.5540009,146.3329926,-8.43900013,-25.16799927,-16.80900002,-17.3579998,-8.171999931,-1.677999973,182.5910034,178.6100006,177.223999,161.6230011,127.375,50.37200165,19.95499992,8.362999916,6.513999939,0.947000027,4.313000202,-0.43900001
24.2,0.7,119,848.8,0,0,171.0659943,170.9219971,174.7279968,175.7299957,175.5209961,146.3710022,-8.467000008,-25.25600052,-16.83300018,-17.37400055,-8.111000061,-1.603000045,182.8200073,178.848999,177.4299927,161.7460022,127.4629974,50.45700073,19.99500084,8.402000427,6.596000195,1.032999992,4.445000172,-0.368000001
24,1,250,850.6,0,11.5,170.9210052,170.8529968,174.7189941,175.6649933,175.3970032,146.2380066,-8.597000122,-25.30800056,-16.83699989,-17.39699936,-8.17800045,-1.667999983,182.8079987,178.9579926,177.4490051,161.7899933,127.5400009,50.54499817,20.15699959,8.42800045,6.636000156,1.08099997,4.428999901,-0.407000005
24.1,0.9,101,850.7,0,1,171.0670013,171.003006,174.878006,175.8480072,175.5570068,146.3410034,-8.477000237,-25.20499992,-16.82699966,-17.2859993,-8.090000153,-1.583999991,182.595993,178.8110046,177.3240051,161.6589966,127.4240036,50.44100189,20.02300072,8.381999969,6.561999798,0.986999989,4.357999802,-0.391000003
23.7,0.6,29,851.4,0,0.5,171.2409973,171.1349945,174.996994,175.9539948,175.673996,146.4830017,-8.361000061,-25.12599945,-16.84399986,-17.32699966,-8.074000359,-1.582000017,182.7610016,178.9160004,177.4019928,161.7279968,127.461998,50.49000168,20.01300049,8.239999771,6.47300005,0.958000004,4.339000225,-0.39199999
23.6,0.7,5,851.2,0,7.5,171.2630005,171.1349945,174.9309998,175.8300018,175.5690002,146.3840027,-8.468000412,-25.2140007,-16.9829998,-17.40699959,-8.126999855,-1.616999984,182.6620026,178.8000031,177.3379974,161.647995,127.3720016,50.39599991,19.98399925,8.375,6.551000118,1.047999978,4.409999847,-0.386999995
