USA,1,United States,16244600
CHN,2,China,8227103
JPN,3,Japan,5961066
DEU,4,Germany,3425928
FRA,5,France,2611200
GBR,6,United Kingdom,2475782
BRA,7,Brazil,2252664
RUS,8,Russian Federation,2014775
ITA,9,Italy,2013375
IND,10,India,1858
